doi	text	study type	center
10.1101/2020.04.23.20077644	Epidemiological and clinical characteristics of discharged patients infected with SARS-CoV-2 on the Qinghai plateau. Since the outbreak of coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was first reported in Wuhan, a series of confirmed cases of COVID-19 were found on the Qinghai-Tibet plateau. We aimed to describe the epidemiological, clinical characteristics, and outcomes of all confirmed cases in Qinghai, a province at high altitude. With efficient measures to stop the spread of coronavirus, no new cases were found in Qinghai Province for 60 consecutive days between Feb 6 and April 6, 2020. Of all 18 patients with confirmed SARS-CoV-2 infection, 15 patients comprising 4 transmission clusters were identified. Three patients were infected by direct contact without travel history to Wuhan. Seven patients were asymptomatic on admission. Of 18 patients, 10 patients showed bilateral pneumonia and 2 patients showed no abnormalities. Three patients with comorbidities such as hypertension, liver diseases or diabetes developed severe illness. High C-reactive protein levels and elevations of both ALT and AST were observed in 3 severely ill patients on admission. All 18 patients were eventually discharged, including the 3 severe patients who recovered after treatment with non-invasive mechanical ventilation, convalescent plasma and other therapies. Our findings confirmed human-to-human transmission of SARS-CoV-2 in clusters. The strategies of early diagnosis, early isolation, and early treatment are important to prevent the spread of COVID-19 and improve the cure rate. Patients with comorbidities are more likely to develop severe illness and could benefit from convalescent plasma transfusion.	observational study	single center
10.1101/2020.05.11.20097741	Epidemiology, risk factors and clinical course of SARS-CoV-2 infected patients in a Swiss university hospital: an observational retrospective study. Background Coronavirus disease 2019 (COVID-19) is now a global pandemic with Europe and the USA at its epicenter. Little is known about risk factors for progression to severe disease in Europe. This study aims to describe the epidemiology of COVID-19 patients in a Swiss university hospital. Methods This retrospective observational study included all adult patients hospitalized with a laboratory confirmed SARS-CoV-2 infection from March 1 to March 25, 2020. We extracted data from electronic health records. The primary outcome was the need to mechanical ventilation at day 14. We used multivariate logistic regression to identify risk factors for mechanical ventilation. Follow-up was of at least 14 days. Results 200 patients were included, of whom 37 (18.5%) needed mechanical ventilation at 14 days. The median time from symptoms onset to mechanical ventilation was 9.5 days (IQR 7.00, 12.75). Multivariable regression showed increased odds of mechanical ventilation in males (3.26, 1.21-9.8; p=0.025), in patients who presented with a qSOFA score [&ge;]2 (6.02, 2.09-18.82; p=0.001), with bilateral infiltrate (5.75, 1.91-21.06; p=0.004) or with a CRP of 40 mg/l or greater (4.73, 1.51-18.58; p=0.013). Conclusions This study gives some insight in the epidemiology and clinical course of patients admitted in a European tertiary hospital with SARS-CoV-2 infection. Male sex, high qSOFA score, CRP of 40 mg/l or greater and a bilateral radiological infiltrate could help clinicians identify patients at high risk for mechanical ventilation.	observational study	single center
10.1101/2020.04.29.20085761	Clinical Outcomes and Plasma Concentrations of Baloxavir Marboxil and Favipiravir in COVID-19 Patients: an Exploratory Randomized, Controlled Trial. Background: Effective antiviral drugs for COVID-19 are still lacking. This study aims to evaluate the clinical outcomes and plasma concentrations of baloxavir marboxil and favipiravir in COVID-19 patients. Methods: Favipiravir and baloxavir acid were evaluated for their antiviral activity against SARS-CoV-2 in vitro before the trial initiation. We conducted an exploratory trial with 3 arms involving hospitalized adult patients with COVID-19. Patients were randomized assigned in a 1:1:1 ratio into baloxavir marboxil group, favipiravir group, and control group. The primary outcome was the percentage of subjects with viral negative by Day 14 and the time from randomization to clinical improvement. Virus load reduction, blood drug concentration and clinical presentation were also observed. The trial was registered with Chinese Clinical Trial Registry (ChiCTR 2000029544). Results: Baloxavir showed antiviral activity in vitro with the half-maximal effective concentration (EC50) of 5.48 M comparable to arbidol and lopinavir, but favipiravir did not demonstrate significant antiviral activity up to 100 M. Thirty patients were enrolled. The percentage of patients who turned viral negative after 14-day treatment was 70%, 77%, and 100% in the baloxavir, favipiravir, and control group respectively, with the medians of time from randomization to clinical improvement was 14, 14 and 15 days, respectively. One reason for the lack of virological effect and clinical benefits may be due to insufficient concentrations of these drugs relative to their antiviral activities. Conclusions: Our findings do not support that adding either baloxavir or favipiravir under the trial dosages to the existing standard treatment.	RCT	single center
10.1101/2020.05.18.20105650	Plasma concentration and safety of lopinavir/ritonavir in patients with Covid-19: a retrospective cohort study. Background: There is an urgent need of active treatment for coronavirus disease 2019 (Covid-19). Although efficacy have not been proven, lopinavir/ritonavir 400 mg/100 mg twice daily has been proposed as a treatment of moderate to severe Covid-19. Previously published cohorts showed Covid-19 is associated with major inflammation. To date, no data are available regarding lopinavir/ritonavir plasma concentration and its safety in Covid-19 patients. Methods: Real-world Covid-19 experience based on a retrospective cohort study Results: On the cohort of 31 patients treated by lopinavir/ritonavir for Covid-19, we observed very high lopinavir plasma concentrations, increased of 4.6-fold (IQR 2.9-6.4), with regards to average plasma concentrations in HIV treatment. All except two patients were above the upper limit of the concentration ranges of HIV treatment. In this cohort, about one over four to five patients prematurely stopped lopinavir/ritonavir therapy due to a moderate adverse drug reaction, mainly hepatic and gastrointestinal disorders. Conclusion: Patients with Covid-19 pneumonitis treated with lopinavir/ritonavir have plasma concentrations dramatically higher than expected. Owing to that high plasma concentration may be required for antiviral activity against SARS-CoV-2, it appears that lopinavir dosage should not be reduced in the absence of adverse effect. About 80% of the patients well tolerated lopinavir/ritonavir therapy under these plasma concentrations. However, cautious is necessary as drug repurposing can be associated with a new drug safety profile.	observational study	single center
10.1101/2020.04.20.20072421	COVID-19 in Iran, a comprehensive investigation from exposure to treatment outcomes. Purpose There is a growing need for information regarding the recent coronavirus disease of 2019 (Covid-19). We present a comprehensive report of Covid-19 patients in Iran. Methods One hundred hospitalized patients with Covid-19 were studied. Data on potential source of exposure, demographic, clinical, and paraclinical features, therapy outcome, and post-discharge follow-up were analyzed. Results The median age of the patients was 58 years, and the majority of the patients (72.7%) were above 50 years of age. Fever was present in 45.2% of the patients on admission. The most common clinical symptoms were shortness of breath (74%) and cough (68%). Most patients had elevated C-reactive protein (92.3%), elevated erythrocyte sedimentation rate (82.9%), lymphocytopenia (74.2 %) on admission. Lower lobes of the lung were most commonly involved, and ground-glass opacity (81.8%) was the most frequent finding in CT scans. The administration of hydroxychloroquine improved the clinical outcome of the patients. Lopinavir/ritonavir was efficacious at younger ages. Of the 70 discharged patients, 40% had symptom relapse, (8.6%) were readmitted to the hospital, and 3 patients (4.3%) died. Conclusion This report demonstrates a heterogeneous nature of clinical manifestations in patients affected with Covid-19. The most common presenting symptoms are non-specific, so attention should be made on broader testing, especially in age groups with the greatest risk and younger individuals who can serve as carriers of the disease. Hydroxychloroquine and lopinavir/ritonavir (in younger age group) can be potential treatment options. Finally, patients discharged from the hospital should be followed up because of potential symptom relapse.	observational study	single center
10.1101/2020.02.20.20025536	Clinical characteristics of 51 patients discharged from hospital with COVID-19 in Chongqing，China. Abstract BackgroundSince December 2019, Severe acute respiratory syndrome coronavirus 2(SARS-CoV-2)-infected disease (Coronavirus Disease 2019COVID-19) emerged in Wuhan , Chinaand rapidly spread throughout Chinaeven throughout the world. We try to describe the epidemiological and clinical characteristics of COVID-19 in non-Wuhan areaand explore its effective treatment. MethodsRetrospective, single-center case series of the 51 hospitalized patients with confirmed COVID-19 at Chongqing University Three Gorges Hospital in Chongqing, China, from January 20 to February 3, 2020The discharge time was from January 29 to February 11, 2020. The main results and indicators of epidemiology, demography, clinical manifestation, laboratory examination, imaging data and treatment data of 51 patients with covid-19 were collected and analyzed. The changes of blood routine and biochemical indexes at discharge and admission were compared. Compare the clinical characteristics of severe patients (including severe and critical patients) and non- severe patients (general patients). Results Of 51 hospitalized patients with COVID-19, the median age was 45 years (interquartile range, 34-51; range, 16-68 years) and 32 (62.7%) were men.43(84.3%)patients had been to Wuhan or Other Hubei areas outside Wuhanand 4(7.7%) patients had a clear contact history of COVID-19 patients before the onset of the disease, and 4(7.7%) patients had no clear epidemiological history of COVID-19.Common symptoms included fever (43 [84.3%]), cough (38 [74.5%]) and fatigue (22 [43.1%]). Lymphopenia was observed in 26 patients (51.0%), and elevated C-reactive protein level in 32 patients (62.7%). Ground-glass opacity was the typical radiological finding on chest computed tomography (41 [80.4%])Local consolidation of pneumonia in some patients(17 [33.3%]).Most of the patients were treated with traditional Chinese medicine decoction (28 [54.9%])all of them received aerosol inhalation of recombinant human interferon a-1b for injection and oral antiviral therapy with Lopinavir and Ritonavir tablets (51 [100%]); Most of the patients were given Bacillus licheniformis capsules regulated intestinal flora treatment (44 [86.3%]). 10 patients (19.6%) received short-term (3-5 days) glucocorticoid treatment. Compared with non-severe patients (n = 44), severe patients (n = 7) were older (median age, 52 years vs 44 years), had a higher proportion of diabetes mellitus (4 [57.1%] vs 0 [0.0%]), most of them needed antibiotic treatment (7 [100%] vs 4 [9.1%], most of them needed nutritional diet (6 [85.7%) vs 0 [0.0%], and were more likely to have dyspnea (6 [85.7%] vs 5 [11.4%])most of them needed noninvasive mechanical ventilation (6 [85.7%] vs 0 [0.0%]). Except one patient died, the remaining 50 patients were discharged according to the discharge standard, the common clinical symptoms disappeared basically, the lymphocyte increased significantly (P=0.008), CRP decreased significantly (P <0.001). The median length of stay was 12 days (IQR, 9-13). ConclusionIn 51 single center cases confirmed as COVID-19 and discharged from the hospital, 13.7% of the patients were severe. The main clinical symptoms of patients with COVID-19 were fever, cough and astheniaSome patients had obvious dyspnea. They had clinical laboratory and radiologic characteristics. There is no specific drug treatment for the disease. For the treatment of COVID-19, in addition to oxygen inhalation and antiviral treatment, attention should be paid to the dialectical treatment of traditional Chinese medicine, regulation of intestinal flora, nutritional support treatment and other comprehensive treatment.	observational study	single center
10.1101/2020.04.19.20071472	Clinical characteristics of imported and second-generation COVID-19 cases outside Wuhan, China: A multicenter retrospective study. Background The mortality of COVID-19 differs between countries and regions. By now, reports on COVID-19 are largely focused on first-generation cases. This study aimed to clarify the clinical characteristics of imported and second-generation cases. Methods This retrospective, multicenter cohort study included 134 confirmed COVID-19 cases from 9 cities outside Wuhan. Epidemiological, clinical and outcome data were extracted from medical records and were compared between severe and non-severe cases. We further profiled the dynamic laboratory findings of some patients. Results 34.3% of the 134 patients were severe cases, and 11.2% had complications. As of March 7, 2020, 91.8% patients were discharged and one patient (0.7%) died. The median age was 46 years. The median interval from symptom onset to hospital admission was 4.5 (IQR 3-7) days. The median lymphocyte count was 1.1*109/L. Age, lymphocyte count, CRP, ESR, DBIL, LDH, HBDH showed difference between severe and no-severe cases (all P<0.05). Baseline lymphocyte count was higher in the survived patients than in the non-survivor case, and it increased as the condition improved, but declined sharply when death occurred. The IL-6 level displayed a downtrend in survivors, but rose very high in the death case. Pulmonary fibrosis was found on later chest CT images in 51.5% of the pneumonia cases. Conclusion Imported and second-generation cases outside Wuhan had a better prognosis than initial cases in Wuhan. Lymphocyte count and IL-6 level could be used for evaluating prognosis. Pulmonary fibrosis as the sequelae of COVID-19 should be taken into account.	observational study	multicenter
10.1101/2020.05.24.20111971	Clinical characteristics of patients hospitalized with COVID-19 in Spain: results from the SEMI-COVID-19 Network.. Background. Spain has been one of the countries most affected by the COVID-19 pandemic. Objective. To create a registry of patients with COVID-19 hospitalized in Spain in order to improve our knowledge of the clinical, diagnostic, therapeutic, and prognostic aspects of this disease. Methods. A multicentre retrospective cohort study, including consecutive patients hospitalized with confirmed COVID-19 throughout Spain. Epidemiological and clinical data, additional tests at admission and at seven days, treatments administered, and progress at 30 days of hospitalization were collected from electronic medical records. Results. Up to April 30th 2020, 6,424 patients from 109 hospitals were included. Their median age was 69.1 years (range: 18-102 years) and 56.9% were male. Prevalences of hypertension, dyslipidemia, and diabetes mellitus were 50.2%, 39.7%, and 18.7%, respectively. The most frequent symptoms were fever (86.2%) and cough (76.5%). High values of ferritin (72.4%), lactate dehydrogenase (70.2%), and D-dimer (61.5%), as well as lymphopenia (52.6%), were frequent. The most used antiviral drugs were hydroxychloroquine (85.7%) and lopinavir/ritonavir (62.4%). 31.5% developed respiratory distress. Overall mortality rate was 21.1%, with a marked increase with age (50-59 years: 4.2%, 60-69 years: 9.1%, 70-79 years: 21.4%, 80-89 years: 42.5%, [&ge;] 90 years: 51.1%). Conclusions. The SEMI-COVID-19 Network provides data on the clinical characteristics of patients with COVID-19 hospitalized in Spain. Patients with COVID-19 hospitalized in Spain are mostly severe cases, as one in three patients developed respiratory distress and one in five patients died. These findings confirm a close relationship between advanced age and mortality.	observational study	multicenter
10.1101/2020.04.24.20072611	Clinical course and risk factors for mortality of COVID-19 patients with pre-existing cirrhosis: A multicenter cohort study. Background: Patients with pre-existing cirrhosis are considered at increased risk of severe coronavirus disease 2019 (COVID-19) but the clinical course in these patients has not yet been reported. This study aimed to provide a detailed report of the clinical characteristics and outcomes among COVID-19 patients with pre-existing cirrhosis. Methods: In this retrospective, multicenter cohort study, we consecutively included all adult inpatients with laboratory-confirmed COVID-19 and pre-existing cirrhosis that had been discharged or had died by 24 March 2020 from 16 designated hospitals in China. Demographic, clinical, laboratory and radiographic findings on admission, treatment, complications during hospitalization and clinical outcomes were collected and compared between survivors and non-survivors. Findings: Twenty-one patients were included in this study, of whom 16 were cured and 5 died in hospital. Seventeen patients had compensated cirrhosis and hepatitis B virus infection was the most common etiology. Lymphocyte and platelet counts were lower, and direct bilirubin levels were higher in patients who died than those who survived (p= 0.040, 0.032, and 0.006, respectively). Acute respiratory distress syndrome and secondary infection were both the most frequently observed complications. Only one patient developed acute on chronic liver failure. Of the 5 non-survivors, all patients developed acute respiratory distress syndrome and 2 patients progressed to multiple organ dysfunction syndrome. Interpretation: Lower lymphocyte and platelet counts, and higher direct bilirubin level might represent poor prognostic indicators in SARS-CoV-2-infected patients with pre-existing cirrhosis.	observational study	multicenter
10.1101/2020.03.03.20030353	Epidemiological and clinical features of 291 cases with coronavirus disease 2019 in areas adjacent to Hubei, China: a double-center observational study. Abstract Background: The clinical outcomes of COVID-19 patients in Hubei and other areas are different. We aim to investigate the epidemiological and clinical characteristics of patient with COVID-19 in Hunan which is adjacent to Hubei. Methods: In this double-center, observational study, we recruited all consecutive patients with laboratory confirmed COVID-19 from January 23 to February 14, 2020 in two designated hospitals in Hunan province, China. Epidemiological and clinical data from patients' electronic medical records were collected and compared between mild, moderate and severe/critical group in detail. Clinical outcomes were followed up to February 20, 2020. Findings: 291 patients with COVID-19 were categorized into mild group (10.0%), moderate group (72.8%) and severe/critical group (17.2%). The median age of all patients was 46 years (49.8% were male). 86.6% patients had an indirect exposure history. The proportion of patients that had been to Wuhan in severe/critical group (48.0% vs 17.2%, p=0.006) and moderate group (43.4% vs 17.2%, p=0.007) were higher than mild group. Fever (68.7%), cough (60.5%), and fatigue (31.6%) were common symptoms especially for severe and critical patients. Typical lung imaging finding were bilateral and unilateral ground glass opacity or consolidation. Leukopenia, lymphopenia and eosinopenia occurred in 36.1%, 22.7% and 50.2% patients respectively. Increased fibrinogen was detected in 45 of 58 (77.6%) patients with available results. 29 of 44 (65.9%) or 22 of 40 (55.0%) patients were positive in Mycoplasma pneumonia or Chlamydia pneumonia antibody test respectively. Compared with mild or moderate group, severe/critical group had a relative higher level of neutrophil, Neutrophil-to-Lymphocyte Ratio, h-CRP, ESR, CK, CK-MB, LDH, D-dimer, and a lower level of lymphocyte, eosinophils, platelet, HDL and sodium (all p<0.01). Most patients received antiviral therapy and Chinese Medicine therapy. As of February 20, 2020, 159 (54.6%) patients were discharged and 2 (0.7%) patients died during hospitalization. The median length of hospital stay in discharged patients was 12 days (IQR: 10-15). Interpretation: The epidemiological and clinical characteristics of COVID-19 patients in Hunan is different from patients in Wuhan. The proportion of patients that had been to Wuhan in severe/critical group and moderate group were higher than mild group. Laboratory and imaging examination can assist in the diagnosis and classification of COVID-19 patients.	observational study	multicenter
10.1101/2020.03.18.20038125	The clinical characteristics of COVID-19: a retrospective analysis of 104 patients from the outbreak on board the Diamond Princess cruise ship in Japan. Background: The ongoing outbreak of the coronavirus disease 2019 (COVID-19) is a global threat. Identification of markers for symptom onset and disease progression is a pressing issue. We compared the clinical features on admission among patients who were diagnosed with asymptomatic, mild, and severe COVID-19 at the end of observation. Methods: This retrospective, single-center study included 104 patients with laboratory-confirmed COVID-19 from the mass infection on the Diamond Princess cruise ship from February 11 to February 25, 2020. Clinical records, laboratory data, and radiological findings were analyzed. Clinical outcomes were followed up until February 26, 2020. Clinical features on admission were compared among those with different disease severity at the end of observation. Univariate analysis identified factors associated with symptom onset and disease progression. Findings: The median age was 68 years, and 54 patients were male. Briefly, 43, 41, and 20 patients on admission and 33, 43, and 28 patients at the end of observation had asymptomatic, mild, and severe COVID-19, respectively. Serum lactate hydrogenase levels were significantly higher in 10 patients who were asymptomatic on admission but developed symptomatic COVID-19 compared with 33 patients who remained asymptomatic throughout the observation period. Older age, consolidation on chest computed tomography, and lymphopenia on admission were more frequent in patients with severe COVID-19 than those with mild COVID-19 at the end of observation. Interpretation: Lactate dehydrogenase level is a potential predictor of symptom onset in COVID-19. Older age, consolidation on chest CT images, and lymphopenia might be risk factors for disease progression of COVID-19 and contribute to the clinical management. Funding: Not applicable.	observational study	single center
10.1101/2020.02.28.20029173	Analysis on the Clinical Characteristics of 36 Cases of Novel Coronavirus Pneumonia in Kunming. Objective: To analyze the clinical characteristics of patients with novel coronavirus pneumonia in Kunming City, and to study the correlation between nutritional status and immune function. Methods: Clinical data of 36 patients with novel coronavirus pneumonia in isolation area of Kunming Third People's Hospital from January 31 to February 15, 2020 were collected, and the basic situation, clinical characteristics, laboratory examination and CT imaging characteristics were analyzed. Serum albumin (ALB), prealbumin (PAB), hypersensitive c-reactive protein (hs-crp), CD3T cells, CD4T cells, CD8T cells and normal control group were analyzed. A simple linear regression analysis of the relationship between proalbumin and T cell subpopulation counts in the blood of patients. Results: (1) The patients with new coronavirus pneumonia in Kunming were mainly of common type. (2) 50% of the patients' first symptoms were fever and cough; (3) The total number of white blood cells in peripheral blood was normal or decreased in 23 cases (79%), and the lymphocyte count decreased in 5 cases (13.89%), without anemia. Hypersensitive c-reactive protein increased in 19 (52.78%) cases, and procalcitonin increased in 1 case. Albumin decreased in 5 cases (13.89%), proalbumin decreased in 15 cases (41.67%), alanine transaminase increased slightly in 4 cases (11.11%), alanine transaminase increased slightly in 4 cases (11.11%), total bilirubin increased slightly in 11 cases (30.56%), and renal function and blood coagulation were normal. Absolute value of CD3+T cells is with a decrease in 21 cases (58.3%), CD4+T in 28 cases (77.8%), CD8+T in 17 cases (47.2%), and CD4+/ CD8+ inverse in 6 cases (16.7%). (4) The prealbumin, CD3 T cells, CD4 T cells and CD8 T cells in the new coronavirus pneumonia group were significantly lower than those in the normal control group, and the hypersensitive c-reactive protein was higher than that in the normal control group. (5) The levels of PAB in the serum of the patients were linearly correlated with hs-crp, CD3 T cells, CD4 T cells and CD8 T cells, and the correlation coefficients were -0.474, 0.558, 0.467 and 0.613, respectively, showing statistical differences. Conclusion: The clinical characteristics of the novel coronavirus pneumonia in Kunming are different from those in Wuhan. The changes of serum proalbumin and T cell subsets are relatively obvious. Changes in serum proalbumin may contribute to the early warning of novel coronavirus pneumonia. The nutritional status of patients with common and mild pneumonia should be considered.	observational study	single center
10.1101/2020.02.23.20026856	Epidemiologic and Clinical Characteristics of 91 Hospitalized Patients with COVID-19 in Zhejiang, China: A retrospective, multi-centre case series. Background Recent studies have focused initial clinical and Epidemiologic characteristics on the COVID-19, mainly revealing situation in Wuhan, Hubei. Aim To reveal more data on the epidemiologic and clinical characteristics of COVID-19 patients outside of Wuhan, in Zhejiang, China. Design Retrospective case series. Methods 88 cases of laboratory-confirmed and 3 cases of clinical-confirmed COVID-19 were admitted to five hospitals in Zhejiang province, China. Data were collected from 20 January 2020 to 11 February 2020. Results Of all 91 patients, 88 (96.70%) were laboratory-confirmed COVID-19 with throat swab samples that tested positive for SARS-Cov-2 while 3 (3.30%) were clinical-diagnosed COVID-19 cases. The median age of the patients was 50 (36.5-57) years, and female accounted for 59.34%. In this sample 40 (43.96%) patients had contracted the diseases from local cases, 31 (34.07%) patients had been to Wuhan/Hubei, 8 (8.79%) cases had contacted with people from Wuhan, 11 (12.09%) cases were confirmed aircraft transmission. In particular within the city of Ningbo, 60.52% cases can be traced back to an event held in a temple. The most common symptoms were fever (71.43%), cough (60.44%) and fatigue (43.96%). The median of incubation period was 6 (IQR, 3-8) days and the median time from first visit to a doctor to confirmed diagnosis was 1 (1-2) days. According to the Chest computed tomography scans, 67.03% cases had bilateral pneumonia. Conclusions Social activity cluster, family cluster and travel by airplane were how COVID-19 patients get transmitted and could be rapidly diagnosed COVID-19 in Zhejiang.	observational study	multicenter
